,Estimate_Median_value_(dollars),Margin_of_Error_Median_value_(dollars),CensusTract,Geographic_Area_Name
4568,388000,17185,6065040806,"Census Tract 408.06, Riverside County, California"
4569,346600,16566,6065040807,"Census Tract 408.07, Riverside County, California"
4570,313100,25530,6065040808,"Census Tract 408.08, Riverside County, California"
4571,291400,42372,6065040809,"Census Tract 408.09, Riverside County, California"
4572,346400,25963,6065040812,"Census Tract 408.12, Riverside County, California"
4573,533300,44394,6065040813,"Census Tract 408.13, Riverside County, California"
4574,321200,19838,6065040814,"Census Tract 408.14, Riverside County, California"
4575,298300,36895,6065040815,"Census Tract 408.15, Riverside County, California"
4576,356500,50909,6065040816,"Census Tract 408.16, Riverside County, California"
4577,330500,29258,6065040821,"Census Tract 408.21, Riverside County, California"
4578,247800,29584,6065040901,"Census Tract 409.01, Riverside County, California"
4579,263300,15465,6065040902,"Census Tract 409.02, Riverside County, California"
4580,264500,30744,6065040903,"Census Tract 409.03, Riverside County, California"
4581,234300,14707,6065040904,"Census Tract 409.04, Riverside County, California"
4582,198400,27147,6065041001,"Census Tract 410.01, Riverside County, California"
4583,203300,21741,6065041002,"Census Tract 410.02, Riverside County, California"
4584,241700,23164,6065041003,"Census Tract 410.03, Riverside County, California"
4585,261700,29327,6065041004,"Census Tract 410.04, Riverside County, California"
4586,187900,55343,6065041101,"Census Tract 411.01, Riverside County, California"
4587,231600,15377,6065041102,"Census Tract 411.02, Riverside County, California"
4588,236100,30282,6065041201,"Census Tract 412.01, Riverside County, California"
4589,203500,18179,6065041202,"Census Tract 412.02, Riverside County, California"
4590,193300,24897,6065041203,"Census Tract 412.03, Riverside County, California"
4591,197900,21936,6065041301,"Census Tract 413.01, Riverside County, California"
4592,205800,46290,6065041302,"Census Tract 413.02, Riverside County, California"
4593,243600,12963,6065041403,"Census Tract 414.03, Riverside County, California"
4594,265600,22818,6065041404,"Census Tract 414.04, Riverside County, California"
4595,146500,65803,6065041405,"Census Tract 414.05, Riverside County, California"
4596,322300,21906,6065041406,"Census Tract 414.06, Riverside County, California"
4597,227100,17785,6065041407,"Census Tract 414.07, Riverside County, California"
4598,236600,73080,6065041408,"Census Tract 414.08, Riverside County, California"
4599,399100,26468,6065041409,"Census Tract 414.09, Riverside County, California"
4600,189300,43866,6065041410,"Census Tract 414.10, Riverside County, California"
4601,184900,28562,6065041411,"Census Tract 414.11, Riverside County, California"
4602,186600,33523,6065041412,"Census Tract 414.12, Riverside County, California"
4603,149400,82519,6065041500,"Census Tract 415, Riverside County, California"
4604,191500,44901,6065041600,"Census Tract 416, Riverside County, California"
4605,304800,24638,6065041702,"Census Tract 417.02, Riverside County, California"
4606,47300,19197,6065041703,"Census Tract 417.03, Riverside County, California"
4607,249500,29657,6065041704,"Census Tract 417.04, Riverside County, California"
4608,420200,26226,6065041803,"Census Tract 418.03, Riverside County, California"
4609,415700,23487,6065041804,"Census Tract 418.04, Riverside County, California"
4610,327400,16083,6065041805,"Census Tract 418.05, Riverside County, California"
4611,395600,22441,6065041806,"Census Tract 418.06, Riverside County, California"
4612,314900,22998,6065041807,"Census Tract 418.07, Riverside County, California"
4613,438000,21965,6065041808,"Census Tract 418.08, Riverside County, California"
4614,277900,14232,6065041809,"Census Tract 418.09, Riverside County, California"
4615,446700,25106,6065041810,"Census Tract 418.10, Riverside County, California"
4616,323500,28012,6065041812,"Census Tract 418.12, Riverside County, California"
4617,249100,17355,6065041813,"Census Tract 418.13, Riverside County, California"
4618,316800,16617,6065041904,"Census Tract 419.04, Riverside County, California"
4619,268500,16233,6065041905,"Census Tract 419.05, Riverside County, California"
4620,229000,20385,6065041906,"Census Tract 419.06, Riverside County, California"
4621,356700,26906,6065041909,"Census Tract 419.09, Riverside County, California"
4622,318000,47465,6065041910,"Census Tract 419.10, Riverside County, California"
4623,364600,13114,6065041911,"Census Tract 419.11, Riverside County, California"
4624,428100,22853,6065041912,"Census Tract 419.12, Riverside County, California"
4625,364600,26203,6065041913,"Census Tract 419.13, Riverside County, California"
4626,418200,34681,6065042003,"Census Tract 420.03, Riverside County, California"
4627,377300,20378,6065042004,"Census Tract 420.04, Riverside County, California"
4628,435000,20766,6065042005,"Census Tract 420.05, Riverside County, California"
4629,405900,34502,6065042007,"Census Tract 420.07, Riverside County, California"
4630,358200,21732,6065042008,"Census Tract 420.08, Riverside County, California"
4631,315700,24324,6065042009,"Census Tract 420.09, Riverside County, California"
4632,153100,16822,6065042010,"Census Tract 420.10, Riverside County, California"
4633,322300,42401,6065042012,"Census Tract 420.12, Riverside County, California"
4634,346500,15374,6065042013,"Census Tract 420.13, Riverside County, California"
4635,346800,13626,6065042014,"Census Tract 420.14, Riverside County, California"
4636,322200,26052,6065042206,"Census Tract 422.06, Riverside County, California"
4637,399300,37144,6065042207,"Census Tract 422.07, Riverside County, California"
4638,378900,10953,6065042208,"Census Tract 422.08, Riverside County, California"
4640,171800,57127,6065042210,"Census Tract 422.10, Riverside County, California"
4641,224700,19552,6065042212,"Census Tract 422.12, Riverside County, California"
4642,261400,20395,6065042213,"Census Tract 422.13, Riverside County, California"
4643,252800,14602,6065042214,"Census Tract 422.14, Riverside County, California"
4644,359200,19512,6065042217,"Census Tract 422.17, Riverside County, California"
4645,202000,21101,6065042300,"Census Tract 423, Riverside County, California"
4646,280000,46846,6065042401,"Census Tract 424.01, Riverside County, California"
4647,237900,21397,6065042402,"Census Tract 424.02, Riverside County, California"
4648,230000,22425,6065042403,"Census Tract 424.03, Riverside County, California"
4649,148900,18504,6065042404,"Census Tract 424.04, Riverside County, California"
4650,179600,32487,6065042405,"Census Tract 424.05, Riverside County, California"
4651,173300,20564,6065042406,"Census Tract 424.06, Riverside County, California"
4652,169200,13581,6065042407,"Census Tract 424.07, Riverside County, California"
4653,198000,16047,6065042408,"Census Tract 424.08, Riverside County, California"
4654,223800,27779,6065042409,"Census Tract 424.09, Riverside County, California"
4655,228200,24103,6065042410,"Census Tract 424.10, Riverside County, California"
4656,235600,13661,6065042411,"Census Tract 424.11, Riverside County, California"
4657,302000,23375,6065042412,"Census Tract 424.12, Riverside County, California"
4658,153100,43394,6065042505,"Census Tract 425.05, Riverside County, California"
4659,193100,20831,6065042506,"Census Tract 425.06, Riverside County, California"
4660,203200,18267,6065042507,"Census Tract 425.07, Riverside County, California"
4661,138900,7634,6065042508,"Census Tract 425.08, Riverside County, California"
4662,161100,13635,6065042509,"Census Tract 425.09, Riverside County, California"
4663,170300,47435,6065042510,"Census Tract 425.10, Riverside County, California"
4664,166500,11632,6065042511,"Census Tract 425.11, Riverside County, California"
4665,157000,12912,6065042512,"Census Tract 425.12, Riverside County, California"
4666,186600,13126,6065042513,"Census Tract 425.13, Riverside County, California"
4667,162200,18869,6065042514,"Census Tract 425.14, Riverside County, California"
4668,140200,30216,6065042515,"Census Tract 425.15, Riverside County, California"
4669,183200,23174,6065042516,"Census Tract 425.16, Riverside County, California"
4670,163300,29965,6065042517,"Census Tract 425.17, Riverside County, California"
4671,192500,17604,6065042518,"Census Tract 425.18, Riverside County, California"
4672,169800,17746,6065042519,"Census Tract 425.19, Riverside County, California"
4673,148300,18082,6065042520,"Census Tract 425.20, Riverside County, California"
4674,162800,14661,6065042521,"Census Tract 425.21, Riverside County, California"
4675,149700,42662,6065042617,"Census Tract 426.17, Riverside County, California"
4676,146800,12960,6065042618,"Census Tract 426.18, Riverside County, California"
4677,191000,11338,6065042619,"Census Tract 426.19, Riverside County, California"
4678,221000,11645,6065042620,"Census Tract 426.20, Riverside County, California"
4679,220800,13587,6065042621,"Census Tract 426.21, Riverside County, California"
4680,273800,21429,6065042622,"Census Tract 426.22, Riverside County, California"
4681,248700,18672,6065042623,"Census Tract 426.23, Riverside County, California"
4682,282100,23945,6065042624,"Census Tract 426.24, Riverside County, California"
4683,182300,22458,6065042706,"Census Tract 427.06, Riverside County, California"
4684,205800,15726,6065042708,"Census Tract 427.08, Riverside County, California"
4685,149900,22263,6065042709,"Census Tract 427.09, Riverside County, California"
4686,145400,7502,6065042711,"Census Tract 427.11, Riverside County, California"
4687,337600,28835,6065042714,"Census Tract 427.14, Riverside County, California"
4688,316600,43416,6065042715,"Census Tract 427.15, Riverside County, California"
4689,338300,34297,6065042716,"Census Tract 427.16, Riverside County, California"
4690,166500,15356,6065042717,"Census Tract 427.17, Riverside County, California"
4691,214300,14636,6065042719,"Census Tract 427.19, Riverside County, California"
4692,167500,36091,6065042720,"Census Tract 427.20, Riverside County, California"
4693,81000,8781,6065042723,"Census Tract 427.23, Riverside County, California"
4694,243200,23304,6065042724,"Census Tract 427.24, Riverside County, California"
4695,288400,39028,6065042726,"Census Tract 427.26, Riverside County, California"
4696,153700,16258,6065042728,"Census Tract 427.28, Riverside County, California"
4697,237000,21663,6065042729,"Census Tract 427.29, Riverside County, California"
4698,209500,25198,6065042730,"Census Tract 427.30, Riverside County, California"
4699,222500,25825,6065042731,"Census Tract 427.31, Riverside County, California"
4700,252100,14588,6065042732,"Census Tract 427.32, Riverside County, California"
4701,275400,14184,6065042733,"Census Tract 427.33, Riverside County, California"
4702,242400,30599,6065042737,"Census Tract 427.37, Riverside County, California"
4703,264100,17406,6065042738,"Census Tract 427.38, Riverside County, California"
4704,318700,14163,6065042739,"Census Tract 427.39, Riverside County, California"
4705,118500,11868,6065042740,"Census Tract 427.40, Riverside County, California"
4706,117100,12769,6065042741,"Census Tract 427.41, Riverside County, California"
4707,230400,29432,6065042742,"Census Tract 427.42, Riverside County, California"
4708,275000,20526,6065042743,"Census Tract 427.43, Riverside County, California"
4709,203400,24550,6065042744,"Census Tract 427.44, Riverside County, California"
4710,241900,15636,6065042745,"Census Tract 427.45, Riverside County, California"
4711,131500,34828,6065042800,"Census Tract 428, Riverside County, California"
4712,150600,16269,6065042901,"Census Tract 429.01, Riverside County, California"
4713,119500,19110,6065042902,"Census Tract 429.02, Riverside County, California"
4714,174000,73454,6065042903,"Census Tract 429.03, Riverside County, California"
4715,133900,29601,6065042904,"Census Tract 429.04, Riverside County, California"
4716,153400,18788,6065043001,"Census Tract 430.01, Riverside County, California"
4717,122600,20328,6065043003,"Census Tract 430.03, Riverside County, California"
4718,178300,19033,6065043005,"Census Tract 430.05, Riverside County, California"
4719,154000,21815,6065043006,"Census Tract 430.06, Riverside County, California"
4720,303600,16943,6065043007,"Census Tract 430.07, Riverside County, California"
4721,233200,32624,6065043008,"Census Tract 430.08, Riverside County, California"
4722,240800,12836,6065043009,"Census Tract 430.09, Riverside County, California"
4723,240600,15044,6065043010,"Census Tract 430.10, Riverside County, California"
4724,283500,25629,6065043206,"Census Tract 432.06, Riverside County, California"
4725,289800,14495,6065043211,"Census Tract 432.11, Riverside County, California"
4726,289500,18611,6065043216,"Census Tract 432.16, Riverside County, California"
4727,335200,35672,6065043217,"Census Tract 432.17, Riverside County, California"
4728,369800,27743,6065043218,"Census Tract 432.18, Riverside County, California"
4729,259700,19421,6065043220,"Census Tract 432.20, Riverside County, California"
4730,368000,21565,6065043222,"Census Tract 432.22, Riverside County, California"
4731,313800,36295,6065043227,"Census Tract 432.27, Riverside County, California"
4732,261200,25397,6065043228,"Census Tract 432.28, Riverside County, California"
4733,302400,17299,6065043229,"Census Tract 432.29, Riverside County, California"
4734,357900,22309,6065043235,"Census Tract 432.35, Riverside County, California"
4735,503000,62278,6065043239,"Census Tract 432.39, Riverside County, California"
4736,316800,22325,6065043240,"Census Tract 432.40, Riverside County, California"
4737,303000,29223,6065043242,"Census Tract 432.42, Riverside County, California"
4738,321800,19657,6065043244,"Census Tract 432.44, Riverside County, California"
4739,471500,28513,6065043246,"Census Tract 432.46, Riverside County, California"
4740,364400,22770,6065043247,"Census Tract 432.47, Riverside County, California"
4741,351700,28808,6065043248,"Census Tract 432.48, Riverside County, California"
4742,293800,17466,6065043250,"Census Tract 432.50, Riverside County, California"
4743,382500,22320,6065043252,"Census Tract 432.52, Riverside County, California"
4744,277800,19800,6065043254,"Census Tract 432.54, Riverside County, California"
4745,288000,20321,6065043256,"Census Tract 432.56, Riverside County, California"
4746,408800,37963,6065043257,"Census Tract 432.57, Riverside County, California"
4747,344700,11568,6065043262,"Census Tract 432.62, Riverside County, California"
4748,319800,22559,6065043264,"Census Tract 432.64, Riverside County, California"
4749,354500,14927,6065043265,"Census Tract 432.65, Riverside County, California"
4750,281200,24583,6065043266,"Census Tract 432.66, Riverside County, California"
4751,342900,12052,6065043267,"Census Tract 432.67, Riverside County, California"
4752,268900,24330,6065043270,"Census Tract 432.70, Riverside County, California"
4753,245300,25963,6065043271,"Census Tract 432.71, Riverside County, California"
4754,566100,82921,6065043272,"Census Tract 432.72, Riverside County, California"
4755,243400,17283,6065043274,"Census Tract 432.74, Riverside County, California"
4756,320100,25815,6065043276,"Census Tract 432.76, Riverside County, California"
4757,379900,25152,6065043278,"Census Tract 432.78, Riverside County, California"
4758,213900,14930,6065043279,"Census Tract 432.79, Riverside County, California"
4759,243000,20418,6065043291,"Census Tract 432.91, Riverside County, California"
4760,245200,30640,6065043304,"Census Tract 433.04, Riverside County, California"
4761,119400,21295,6065043306,"Census Tract 433.06, Riverside County, California"
4762,66400,8851,6065043307,"Census Tract 433.07, Riverside County, California"
4763,99900,15314,6065043308,"Census Tract 433.08, Riverside County, California"
4764,122600,12932,6065043309,"Census Tract 433.09, Riverside County, California"
4765,153600,39555,6065043310,"Census Tract 433.10, Riverside County, California"
4766,156600,13826,6065043311,"Census Tract 433.11, Riverside County, California"
4767,110600,10575,6065043312,"Census Tract 433.12, Riverside County, California"
4768,113000,12920,6065043313,"Census Tract 433.13, Riverside County, California"
4769,163800,22975,6065043314,"Census Tract 433.14, Riverside County, California"
4770,160000,9143,6065043315,"Census Tract 433.15, Riverside County, California"
4771,158400,7478,6065043316,"Census Tract 433.16, Riverside County, California"
4772,191000,23275,6065043317,"Census Tract 433.17, Riverside County, California"
4773,81200,12305,6065043401,"Census Tract 434.01, Riverside County, California"
4774,114200,14340,6065043403,"Census Tract 434.03, Riverside County, California"
4775,90100,7150,6065043404,"Census Tract 434.04, Riverside County, California"
4776,19800,8776,6065043405,"Census Tract 434.05, Riverside County, California"
4777,18000,2437,6065043503,"Census Tract 435.03, Riverside County, California"
4778,163400,22414,6065043504,"Census Tract 435.04, Riverside County, California"
4779,100500,11474,6065043505,"Census Tract 435.05, Riverside County, California"
4780,169200,13049,6065043506,"Census Tract 435.06, Riverside County, California"
4781,65100,11680,6065043507,"Census Tract 435.07, Riverside County, California"
4782,147300,22089,6065043508,"Census Tract 435.08, Riverside County, California"
4783,121100,16608,6065043509,"Census Tract 435.09, Riverside County, California"
4784,145900,9000,6065043512,"Census Tract 435.12, Riverside County, California"
4785,101700,57798,6065043513,"Census Tract 435.13, Riverside County, California"
4786,187500,16638,6065043517,"Census Tract 435.17, Riverside County, California"
4787,102700,27713,6065043601,"Census Tract 436.01, Riverside County, California"
4788,122800,67806,6065043602,"Census Tract 436.02, Riverside County, California"
4789,67000,38270,6065043701,"Census Tract 437.01, Riverside County, California"
4790,143600,14581,6065043702,"Census Tract 437.02, Riverside County, California"
4791,101700,13023,6065043703,"Census Tract 437.03, Riverside County, California"
4792,189700,19884,6065043802,"Census Tract 438.02, Riverside County, California"
4793,185300,12398,6065043807,"Census Tract 438.07, Riverside County, California"
4794,146800,7257,6065043809,"Census Tract 438.09, Riverside County, California"
4795,238200,10955,6065043810,"Census Tract 438.10, Riverside County, California"
4796,302800,71022,6065043811,"Census Tract 438.11, Riverside County, California"
4797,216300,11359,6065043812,"Census Tract 438.12, Riverside County, California"
4798,125700,56297,6065043813,"Census Tract 438.13, Riverside County, California"
4799,82800,5784,6065043814,"Census Tract 438.14, Riverside County, California"
4800,209400,26785,6065043818,"Census Tract 438.18, Riverside County, California"
4801,227200,16609,6065043820,"Census Tract 438.20, Riverside County, California"
4802,195200,20907,6065043821,"Census Tract 438.21, Riverside County, California"
4803,208400,21200,6065043822,"Census Tract 438.22, Riverside County, California"
4804,280300,9418,6065043823,"Census Tract 438.23, Riverside County, California"
4805,166300,12632,6065043900,"Census Tract 439, Riverside County, California"
4806,116000,46692,6065044000,"Census Tract 440, Riverside County, California"
4807,98100,23243,6065044101,"Census Tract 441.01, Riverside County, California"
4808,97200,14142,6065044102,"Census Tract 441.02, Riverside County, California"
4809,101200,33764,6065044103,"Census Tract 441.03, Riverside County, California"
4810,177600,22699,6065044104,"Census Tract 441.04, Riverside County, California"
4811,138900,23866,6065044200,"Census Tract 442, Riverside County, California"
4812,153700,23092,6065044300,"Census Tract 443, Riverside County, California"
4813,192300,41085,6065044402,"Census Tract 444.02, Riverside County, California"
4814,163600,22465,6065044403,"Census Tract 444.03, Riverside County, California"
4815,235400,20249,6065044404,"Census Tract 444.04, Riverside County, California"
4816,267700,28094,6065044405,"Census Tract 444.05, Riverside County, California"
4817,120600,15141,6065044505,"Census Tract 445.05, Riverside County, California"
4818,106300,16971,6065044507,"Census Tract 445.07, Riverside County, California"
4819,109800,17503,6065044509,"Census Tract 445.09, Riverside County, California"
4820,120100,15012,6065044510,"Census Tract 445.10, Riverside County, California"
4821,108600,8767,6065044515,"Census Tract 445.15, Riverside County, California"
4822,115200,20164,6065044516,"Census Tract 445.16, Riverside County, California"
4823,185900,20821,6065044517,"Census Tract 445.17, Riverside County, California"
4824,143700,22043,6065044518,"Census Tract 445.18, Riverside County, California"
4825,214500,17392,6065044520,"Census Tract 445.20, Riverside County, California"
4826,100700,21760,6065044521,"Census Tract 445.21, Riverside County, California"
4827,77700,10629,6065044522,"Census Tract 445.22, Riverside County, California"
4828,444400,48893,6065044602,"Census Tract 446.02, Riverside County, California"
4829,262900,19058,6065044604,"Census Tract 446.04, Riverside County, California"
4830,255400,43335,6065044605,"Census Tract 446.05, Riverside County, California"
4831,479200,92858,6065044606,"Census Tract 446.06, Riverside County, California"
4832,319200,77202,6065044701,"Census Tract 447.01, Riverside County, California"
4833,150000,45806,6065044702,"Census Tract 447.02, Riverside County, California"
4834,223000,17733,6065044804,"Census Tract 448.04, Riverside County, California"
4835,385700,137318,6065044805,"Census Tract 448.05, Riverside County, California"
4836,257500,95741,6065044806,"Census Tract 448.06, Riverside County, California"
4837,454200,81534,6065044807,"Census Tract 448.07, Riverside County, California"
4838,215700,10800,6065044904,"Census Tract 449.04, Riverside County, California"
4839,154600,17495,6065044907,"Census Tract 449.07, Riverside County, California"
4840,265500,32272,6065044911,"Census Tract 449.11, Riverside County, California"
4841,161000,6445,6065044915,"Census Tract 449.15, Riverside County, California"
4842,284900,40856,6065044916,"Census Tract 449.16, Riverside County, California"
4843,447500,30648,6065044917,"Census Tract 449.17, Riverside County, California"
4844,460200,108420,6065044918,"Census Tract 449.18, Riverside County, California"
4845,234100,43174,6065044919,"Census Tract 449.19, Riverside County, California"
4846,651800,95846,6065044921,"Census Tract 449.21, Riverside County, California"
4847,357700,23114,6065044922,"Census Tract 449.22, Riverside County, California"
4848,231900,28383,6065044923,"Census Tract 449.23, Riverside County, California"
4849,209500,20491,6065044924,"Census Tract 449.24, Riverside County, California"
4850,189300,15145,6065044925,"Census Tract 449.25, Riverside County, California"
4851,173000,9842,6065044926,"Census Tract 449.26, Riverside County, California"
4852,339900,49278,6065044927,"Census Tract 449.27, Riverside County, California"
4853,359100,29649,6065044928,"Census Tract 449.28, Riverside County, California"
4854,382000,28571,6065044929,"Census Tract 449.29, Riverside County, California"
4855,217700,27534,6065044930,"Census Tract 449.30, Riverside County, California"
4856,216000,31813,6065044931,"Census Tract 449.31, Riverside County, California"
4857,207600,21602,6065044932,"Census Tract 449.32, Riverside County, California"
4858,293200,28794,6065045000,"Census Tract 450, Riverside County, California"
4859,494000,79142,6065045103,"Census Tract 451.03, Riverside County, California"
4860,262800,41311,6065045108,"Census Tract 451.08, Riverside County, California"
4861,214100,26400,6065045109,"Census Tract 451.09, Riverside County, California"
4862,178700,18331,6065045110,"Census Tract 451.10, Riverside County, California"
4863,398000,89371,6065045114,"Census Tract 451.14, Riverside County, California"
4864,487200,26751,6065045115,"Census Tract 451.15, Riverside County, California"
4865,315700,40088,6065045116,"Census Tract 451.16, Riverside County, California"
4866,349800,35496,6065045117,"Census Tract 451.17, Riverside County, California"
4867,346400,57475,6065045118,"Census Tract 451.18, Riverside County, California"
4868,222500,50326,6065045119,"Census Tract 451.19, Riverside County, California"
4869,286500,53449,6065045120,"Census Tract 451.20, Riverside County, California"
4870,634700,58149,6065045121,"Census Tract 451.21, Riverside County, California"
4871,691100,63436,6065045122,"Census Tract 451.22, Riverside County, California"
4872,509400,71928,6065045123,"Census Tract 451.23, Riverside County, California"
4873,165500,66427,6065045124,"Census Tract 451.24, Riverside County, California"
4874,750700,127658,6065045125,"Census Tract 451.25, Riverside County, California"
4875,106500,35058,6065045207,"Census Tract 452.07, Riverside County, California"
4876,137100,21651,6065045209,"Census Tract 452.09, Riverside County, California"
4877,345600,20669,6065045212,"Census Tract 452.12, Riverside County, California"
4878,173800,20697,6065045213,"Census Tract 452.13, Riverside County, California"
4879,332300,35328,6065045214,"Census Tract 452.14, Riverside County, California"
4880,281000,15161,6065045215,"Census Tract 452.15, Riverside County, California"
4881,338300,22955,6065045216,"Census Tract 452.16, Riverside County, California"
4882,170100,22036,6065045217,"Census Tract 452.17, Riverside County, California"
4883,181800,27994,6065045222,"Census Tract 452.22, Riverside County, California"
4884,255300,32347,6065045224,"Census Tract 452.24, Riverside County, California"
4885,169300,11920,6065045226,"Census Tract 452.26, Riverside County, California"
4886,254100,18087,6065045228,"Census Tract 452.28, Riverside County, California"
4887,283400,37796,6065045233,"Census Tract 452.33, Riverside County, California"
4888,109700,46150,6065045302,"Census Tract 453.02, Riverside County, California"
4889,91400,21851,6065045303,"Census Tract 453.03, Riverside County, California"
4890,249000,14737,6065045304,"Census Tract 453.04, Riverside County, California"
4891,143100,24771,6065045501,"Census Tract 455.01, Riverside County, California"
4892,111600,28146,6065045502,"Census Tract 455.02, Riverside County, California"
4893,93200,13929,6065045604,"Census Tract 456.04, Riverside County, California"
4894,41800,13643,6065045605,"Census Tract 456.05, Riverside County, California"
4895,518600,138368,6065045606,"Census Tract 456.06, Riverside County, California"
4896,794800,86026,6065045608,"Census Tract 456.08, Riverside County, California"
4897,125600,68555,6065045609,"Census Tract 456.09, Riverside County, California"
4898,125700,15690,6065045703,"Census Tract 457.03, Riverside County, California"
4899,122900,36658,6065045704,"Census Tract 457.04, Riverside County, California"
4900,172200,11972,6065045705,"Census Tract 457.05, Riverside County, California"
4901,107800,11784,6065045706,"Census Tract 457.06, Riverside County, California"
4902,127700,22092,6065045707,"Census Tract 457.07, Riverside County, California"
4903,127900,25369,6065045900,"Census Tract 459, Riverside County, California"
4904,109700,10094,6065046101,"Census Tract 461.01, Riverside County, California"
4905,102100,21360,6065046102,"Census Tract 461.02, Riverside County, California"
4906,150900,12603,6065046103,"Census Tract 461.03, Riverside County, California"
4907,112400,14242,6065046200,"Census Tract 462, Riverside County, California"
4908,268000,25646,6065046401,"Census Tract 464.01, Riverside County, California"
4909,151300,17680,6065046402,"Census Tract 464.02, Riverside County, California"
4910,192800,17832,6065046403,"Census Tract 464.03, Riverside County, California"
4911,194700,24511,6065046404,"Census Tract 464.04, Riverside County, California"
4912,232700,23250,6065046405,"Census Tract 464.05, Riverside County, California"
4913,157800,85053,6065046500,"Census Tract 465, Riverside County, California"
4914,489200,63718,6065046601,"Census Tract 466.01, Riverside County, California"
4915,410800,33634,6065046602,"Census Tract 466.02, Riverside County, California"
4916,194600,44630,6065046700,"Census Tract 467, Riverside County, California"
4917,174300,20880,6065046800,"Census Tract 468, Riverside County, California"
4918,89700,24867,6065046900,"Census Tract 469, Riverside County, California"
4919,132400,55056,6065047000,"Census Tract 470, Riverside County, California"
4920,26100,4937,6065047201,"Census Tract 472.01, Riverside County, California"
4921,76900,27638,6065047202,"Census Tract 472.02, Riverside County, California"
4922,438600,33127,6065047900,"Census Tract 479, Riverside County, California"
4923,480100,23228,6065048100,"Census Tract 481, Riverside County, California"
4924,332200,22797,6065048200,"Census Tract 482, Riverside County, California"
4925,197200,12166,6065048300,"Census Tract 483, Riverside County, California"
4926,262400,12877,6065048700,"Census Tract 487, Riverside County, California"
4927,166400,13472,6065048800,"Census Tract 488, Riverside County, California"
4928,172600,15889,6065048901,"Census Tract 489.01, Riverside County, California"
4929,116000,6864,6065048902,"Census Tract 489.02, Riverside County, California"
4930,272500,29104,6065049000,"Census Tract 490, Riverside County, California"
4931,209400,23294,6065049100,"Census Tract 491, Riverside County, California"
4932,325000,56887,6065049400,"Census Tract 494, Riverside County, California"
4933,171300,18594,6065049500,"Census Tract 495, Riverside County, California"
4934,328300,30538,6065049600,"Census Tract 496, Riverside County, California"
4935,397400,28711,6065049700,"Census Tract 497, Riverside County, California"
4936,171700,23033,6065049800,"Census Tract 498, Riverside County, California"
4937,319900,20349,6065050300,"Census Tract 503, Riverside County, California"
4938,274700,9540,6065050400,"Census Tract 504, Riverside County, California"
4939,311100,19519,6065050500,"Census Tract 505, Riverside County, California"
4940,348600,16995,6065050600,"Census Tract 506, Riverside County, California"
4941,295000,17386,6065050700,"Census Tract 507, Riverside County, California"
4942,282200,15264,6065050900,"Census Tract 509, Riverside County, California"
4943,210800,38813,6065051100,"Census Tract 511, Riverside County, California"
4944,746600,93883,6065051200,"Census Tract 512, Riverside County, California"
4945,125900,15729,6065051300,"Census Tract 513, Riverside County, California"
4946,353600,14783,6065051400,"Census Tract 514, Riverside County, California"
4948,151300,9636,6065940400,"Census Tract 9404, Riverside County, California"
4949,688100,48513,6065940500,"Census Tract 9405, Riverside County, California"
4950,428900,46960,6065940600,"Census Tract 9406, Riverside County, California"
4951,315700,17966,6065940700,"Census Tract 9407, Riverside County, California"
4952,268800,15203,6065940800,"Census Tract 9408, Riverside County, California"
4953,117500,49977,6065940900,"Census Tract 9409, Riverside County, California"
4954,134800,19066,6065941000,"Census Tract 9410, Riverside County, California"
4955,73800,9724,6065941100,"Census Tract 9411, Riverside County, California"
4956,286400,29423,6065941200,"Census Tract 9412, Riverside County, California"
4957,313100,11194,6065941300,"Census Tract 9413, Riverside County, California"
4958,232000,17580,6065941400,"Census Tract 9414, Riverside County, California"
4959,157400,10073,6065941500,"Census Tract 9415, Riverside County, California"
4962,400300,19711,6067000100,"Census Tract 1, Sacramento County, California"
4963,427300,20415,6067000200,"Census Tract 2, Sacramento County, California"
4964,462300,21278,6067000300,"Census Tract 3, Sacramento County, California"
4965,395600,78365,6067000400,"Census Tract 4, Sacramento County, California"
4966,361000,38107,6067000500,"Census Tract 5, Sacramento County, California"
4967,370000,105585,6067000600,"Census Tract 6, Sacramento County, California"
4969,300000,54162,6067000800,"Census Tract 8, Sacramento County, California"
4970,270500,42754,6067001101,"Census Tract 11.01, Sacramento County, California"
4971,251700,194601,6067001200,"Census Tract 12, Sacramento County, California"
4972,410300,89464,6067001300,"Census Tract 13, Sacramento County, California"
4973,384800,44167,6067001400,"Census Tract 14, Sacramento County, California"
4974,552900,58006,6067001500,"Census Tract 15, Sacramento County, California"
4975,397000,26631,6067001600,"Census Tract 16, Sacramento County, California"
4976,279000,23932,6067001700,"Census Tract 17, Sacramento County, California"
4977,223000,18803,6067001800,"Census Tract 18, Sacramento County, California"
4978,343300,87987,6067001900,"Census Tract 19, Sacramento County, California"
4979,339000,31497,6067002000,"Census Tract 20, Sacramento County, California"
4980,380000,57821,6067002100,"Census Tract 21, Sacramento County, California"
4981,363400,14685,6067002200,"Census Tract 22, Sacramento County, California"
4982,399500,32248,6067002300,"Census Tract 23, Sacramento County, California"
4983,553700,52251,6067002400,"Census Tract 24, Sacramento County, California"
4984,481300,30332,6067002500,"Census Tract 25, Sacramento County, California"
4985,433800,32099,6067002600,"Census Tract 26, Sacramento County, California"
